name,value,date
Python,3.72,2015_04_13
Python,4.00,2015_05_06
Python,4.26,2015_06_12
Python,4.07,2015_07_06
Python,3.66,2015_08_05
Python,4.51,2015_09_04
Python,3.77,2015_10_07
Python,4.43,2015_11_04
Python,3.85,2016_00_02
Python,4.18,2016_01_02
Python,4.26,2016_02_03
Python,3.33,2016_03_07
Python,3.79,2016_04_06
Python,3.90,2016_05_05
Python,4.17,2016_06_04
Python,4.40,2016_07_06
Python,4.30,2016_08_08
Python,3.77,2016_09_07
Python,3.57,2016_10_05
Python,4.24,2016_11_04
Python,3.46,2017_00_07
Python,4.04,2017_01_08
Python,3.92,2017_02_07
Python,3.46,2017_03_09
Python,3.55,2017_04_06
Python,4.33,2017_05_03
Python,3.54,2017_06_07
Python,3.69,2017_07_02
Python,2.98,2017_08_06
Python,3.80,2017_09_05
Python,4.48,2017_10_12
Python,3.78,2017_11_09
Python,4.68,2018_00_03
Python,5.17,2018_01_08
Python,5.87,2018_02_07
Python,5.80,2018_03_01
Python,5.19,2018_04_06
Python,5.76,2018_05_10
Python,6.36,2018_06_07
Python,6.99,2018_07_01
Python,7.65,2018_08_03
Python,7.16,2018_09_05
Python,7.68,2018_10_08
Python,8.38,2018_11_02
Python,8.29,2019_00_04
Python,7.57,2019_01_06
Python,8.26,2019_02_02
Python,8.17,2019_03_07
Python,7.83,2019_04_04
Python,8.53,2019_05_09
Python,9.26,2019_06_06
Python,10.02,2019_07_05
Python,9.87,2019_08_09
Python,9.09,2019_09_05
Python,9.84,2019_10_03
Python,10.31,2019_11_06
Python,9.70,2020_00_05
Python,9.35,2020_01_04
Python,10.11,2020_02_04
Python,9.31,2020_03_02
Python,9.12,2020_04_02
Python,8.36,2020_05_01
Python,9.09,2020_06_04
Python,9.69,2020_07_02
Python,10.47,2020_08_06
Python,11.28,2020_09_04
C++,14.20,2001_05_30
C++,16.11,2001_06_30
C++,16.12,2001_07_30
C++,15.85,2001_08_28
C++,16.10,2001_09_26
C++,15.67,2001_10_28
C++,14.96,2001_11_31
C++,15.18,2002_00_30
C++,15.54,2002_01_27
C++,15.91,2002_02_29
C++,15.37,2002_03_29
C++,14.86,2002_04_29
C++,14.18,2002_05_29
C++,14.94,2002_06_31
C++,14.77,2002_07_29
C++,15.90,2002_08_29
C++,15.03,2002_09_30
C++,13.64,2002_10_29
C++,13.19,2002_11_31
C++,14.63,2003_00_31
C++,15.53,2003_01_28
C++,14.57,2003_02_31
C++,15.80,2003_03_30
C++,15.58,2003_04_30
C++,16.72,2003_05_30
C++,16.58,2003_06_31
C++,17.53,2003_07_31
C++,16.17,2003_08_30
C++,16.31,2003_09_31
C++,17.42,2003_10_30
C++,16.08,2003_11_31
C++,15.71,2004_00_31
C++,14.50,2004_01_29
C++,15.99,2004_02_31
C++,12.27,2004_03_30
C++,12.55,2004_04_30
C++,13.44,2004_05_30
C++,15.31,2004_06_31
C++,14.92,2004_07_30
C++,15.02,2004_08_30
C++,13.86,2004_09_31
C++,11.91,2004_10_30
C++,11.93,2004_11_31
C++,11.34,2005_00_31
C++,11.63,2005_01_28
C++,10.19,2005_02_31
C++,9.90,2005_03_30
C++,9.72,2005_04_31
C++,11.06,2005_05_30
C++,10.51,2005_06_31
C++,11.17,2005_07_31
C++,11.82,2005_08_30
C++,11.03,2005_11_03
C++,11.46,2006_00_04
C++,11.30,2006_01_02
C++,11.16,2006_02_01
C++,10.90,2006_03_02
C++,10.94,2006_04_01
C++,10.67,2006_05_01
C++,9.78,2006_06_02
C++,10.25,2006_07_02
C++,10.75,2006_08_02
C++,11.06,2006_09_01
C++,11.05,2006_10_02
C++,10.41,2006_11_01
C++,10.42,2007_00_02
C++,10.77,2007_01_03
C++,11.11,2007_02_03
C++,10.72,2007_03_01
C++,10.11,2007_04_05
C++,11.12,2007_05_02
C++,10.50,2007_06_02
C++,10.11,2007_07_05
C++,9.94,2007_08_02
C++,9.58,2007_09_04
C++,8.75,2007_10_04
C++,7.87,2007_11_03
C++,8.73,2008_00_03
C++,9.27,2008_01_07
C++,10.81,2008_05_01
C++,10.69,2008_06_02
C++,10.06,2008_07_03
C++,10.72,2008_08_03
C++,10.95,2008_09_06
C++,10.36,2008_10_02
C++,10.10,2008_11_03
C++,10.12,2009_00_02
C++,9.63,2009_01_01
C++,10.36,2009_02_05
C++,10.74,2009_03_07
C++,11.07,2009_04_01
C++,10.59,2009_05_04
C++,10.42,2009_06_02
C++,10.50,2009_07_01
C++,9.99,2009_08_05
C++,9.88,2009_09_02
C++,10.00,2009_10_02
C++,9.18,2009_11_02
C++,9.71,2010_00_05
C++,9.45,2010_01_07
C++,9.61,2010_02_07
C++,9.71,2010_03_05
C++,10.38,2010_04_15
C++,10.47,2010_06_06
C++,9.66,2010_06_30
C++,9.81,2010_08_11
C++,9.80,2010_09_02
C++,9.50,2010_10_03
C++,9.01,2010_11_07
C++,8.78,2011_00_02
C++,8.19,2011_01_08
C++,8.75,2011_02_08
C++,9.23,2011_03_03
C++,9.15,2011_04_02
C++,9.83,2011_05_05
C++,9.83,2011_05_27
C++,9.02,2011_06_08
C++,8.43,2011_07_03
C++,8.85,2011_08_10
C++,9.07,2011_09_09
C++,8.08,2011_10_07
C++,8.25,2011_11_04
C++,8.05,2012_00_08
C++,7.85,2012_01_05
C++,8.05,2012_02_11
C++,8.90,2012_03_08
C++,9.82,2012_04_09
C++,9.36,2012_05_10
C++,9.12,2012_06_04
C++,9.33,2012_07_10
C++,9.15,2012_08_02
C++,9.26,2012_09_05
C++,9.70,2012_10_04
C++,9.20,2012_11_02
C++,9.14,2013_00_05
C++,8.76,2013_01_08
C++,9.11,2013_02_11
C++,9.71,2013_03_07
C++,9.20,2013_04_08
C++,8.82,2013_05_09
C++,8.75,2013_06_07
C++,8.75,2013_06_12
C++,9.37,2013_07_04
C++,8.66,2013_08_11
C++,8.66,2013_09_10
C++,8.37,2013_10_09
C++,8.27,2013_11_06
C++,7.56,2014_00_01
C++,6.89,2014_01_08
C++,6.31,2014_02_03
C++,6.14,2014_03_10
C++,5.99,2014_04_07
C++,6.43,2014_05_08
C++,5.52,2014_06_06
C++,4.70,2014_07_11
C++,4.67,2014_08_01
C++,4.87,2014_09_03
C++,6.10,2014_10_08
C++,6.10,2014_11_07
C++,6.70,2015_00_06
C++,6.61,2015_01_05
C++,6.64,2015_02_07
C++,6.96,2015_03_13
C++,7.87,2015_04_13
C++,7.76,2015_05_06
C++,8.64,2015_06_12
C++,7.74,2015_07_06
C++,6.78,2015_08_05
C++,5.75,2015_09_04
C++,6.20,2015_10_07
C++,5.94,2015_11_04
C++,6.91,2016_00_02
C++,6.91,2016_01_02
C++,6.72,2016_02_03
C++,5.92,2016_03_07
C++,6.70,2016_04_06
C++,6.20,2016_05_05
C++,6.31,2016_06_04
C++,5.80,2016_07_06
C++,6.66,2016_08_08
C++,5.80,2016_09_07
C++,5.41,2016_10_05
C++,5.34,2016_11_04
C++,6.30,2017_00_07
C++,5.43,2017_01_08
C++,5.18,2017_02_07
C++,4.55,2017_03_09
C++,4.75,2017_04_06
C++,5.72,2017_05_03
C++,5.58,2017_06_07
C++,5.55,2017_07_02
C++,5.56,2017_08_06
C++,5.01,2017_09_05
C++,5.34,2017_10_12
C++,4.72,2017_11_09
C++,5.60,2018_00_03
C++,5.73,2018_01_08
C++,6.45,2018_02_07
C++,7.22,2018_03_01
C++,7.67,2018_04_06
C++,8.34,2018_05_10
C++,7.62,2018_06_07
C++,7.47,2018_07_01
C++,7.39,2018_08_03
C++,7.59,2018_09_05
C++,8.28,2018_10_08
C++,7.56,2018_11_02
C++,8.16,2019_00_04
C++,7.44,2019_01_06
C++,8.13,2019_02_02
C++,8.84,2019_03_07
C++,8.10,2019_04_04
C++,7.38,2019_05_09
C++,6.70,2019_06_06
C++,6.06,2019_07_05
C++,5.64,2019_08_09
C++,6.23,2019_09_05
C++,5.60,2019_10_03
C++,6.20,2019_11_06
